,t1_win
gameId,0.009160863566328406
t1p1_assists,0.4643895443016436
t1p1_ban_champId,0.00428515112478481
t1p1_champId,-0.0014791178724651499
t1p1_champLevel,0.24502163008614883
t1p1_damageDealtToObjectives,0.3841135485627434
t1p1_damageDealtToTurrets,0.44238045833071304
t1p1_damageSelfMitigated,-0.044133434034586284
t1p1_deaths,-0.3988073481075063
t1p1_goldEarned,0.29202121649941953
t1p1_item0,0.0024276256665250033
t1p1_item1,0.014353717665374278
t1p1_item2,0.0060562998734672285
t1p1_item3,0.043106598712831866
t1p1_item4,0.0858701706674117
t1p1_item5,0.09878910423595966
t1p1_item6,0.025270517047988383
t1p1_kills,0.189097590827009
t1p1_lp,0.060443503954268944
t1p1_magicDamageDealt,0.08122578773190767
t1p1_magicDamageDealtToChampions,0.06508751538562908
t1p1_magicalDamageTaken,-0.13847426120191872
t1p1_min10_creeps,0.002461068509641389
t1p1_min10_damagetaken,-0.08780121959782006
t1p1_min10_gold,0.21220040158496406
t1p1_min10_xp,0.1556512342199144
t1p1_min15_creeps,-0.002144230564724798
t1p1_min15_damagetaken,-0.10813913665710376
t1p1_min15_gold,0.20051922922018733
t1p1_min15_xp,0.1445946050584028
t1p1_neutralMinionsKilled,0.04225816540033938
t1p1_perk0,-0.0007914443768344833
t1p1_perk1,0.016371985661226867
t1p1_perk2,0.020254630564210636
t1p1_perk3,0.011998745319276864
t1p1_perk4,-0.007577998251896199
t1p1_perk5,-0.006619647226739289
t1p1_perkPrimaryStyle,0.0119874693412999
t1p1_perkSubStyle,-0.014323461604287014
t1p1_physicalDamageDealt,0.06421486536685132
t1p1_physicalDamageDealtToChampions,0.04680645026926276
t1p1_physicalDamageTaken,-0.11327121278368776
t1p1_spellId1,0.0049950745302669
t1p1_spellId2,-0.004425923126778495
t1p1_timeCCingOthers,0.032667783710207676
t1p1_totalDamageDealt,0.11799466525667168
t1p1_totalDamageDealtToChampions,0.08916245494217803
t1p1_totalDamageTaken,-0.14152740191315974
t1p1_totalHeal,0.1282048148734949
t1p1_totalMinionsKilled,0.0030360191545398068
t1p1_totalTimeCrowdControlDealt,0.02707123958248387
t1p1_trueDamageDealt,0.03526948052653236
t1p1_trueDamageDealtToChampions,-0.004615888621922575
t1p1_trueDamageTaken,-0.06760771856156612
t1p1_visionScore,0.09023545212353434
t1p1_wardsKilled,0.03773815559533937
t1p1_wardsPlaced,0.032635370927404005
t1p2_assists,0.38981042900314433
t1p2_ban_champId,0.0021315902140429904
t1p2_champId,-0.01135510795551682
t1p2_champLevel,0.2212317989570338
t1p2_damageDealtToObjectives,0.47448571122807115
t1p2_damageDealtToTurrets,0.5343215474278307
t1p2_damageSelfMitigated,-0.013681282678589897
t1p2_deaths,-0.4125284779049178
t1p2_goldEarned,0.2742600013483632
t1p2_item0,0.032848911327149774
t1p2_item1,0.041774356254148326
t1p2_item2,0.04990539885211319
t1p2_item3,0.09443607562176497
t1p2_item4,0.10363558766295006
t1p2_item5,0.11357722966646176
t1p2_item6,0.026143284777664387
t1p2_kills,0.3565955342056768
t1p2_lp,0.056489932594481825
t1p2_magicDamageDealt,0.03628464626380709
t1p2_magicDamageDealtToChampions,0.04810010239349736
t1p2_magicalDamageTaken,-0.11697390355983393
t1p2_min10_creeps,0.14086713215732216
t1p2_min10_damagetaken,-0.07916554381632523
t1p2_min10_gold,0.2625692588063575
t1p2_min10_xp,0.20785482575173542
t1p2_min15_creeps,0.10474126228425985
t1p2_min15_damagetaken,-0.08296294253265468
t1p2_min15_gold,0.2237112055628805
t1p2_min15_xp,0.14935235428522922
t1p2_neutralMinionsKilled,0.20805734383220825
t1p2_perk0,-0.010216454530260738
t1p2_perk1,3.6307245084313544e-05
t1p2_perk2,0.0015088281729092696
t1p2_perk3,0.0037677823903310755
t1p2_perk4,-0.008011369748500443
t1p2_perk5,-0.004830529650288892
t1p2_perkPrimaryStyle,0.0030377821655641277
t1p2_perkSubStyle,0.0009451173465062419
t1p2_physicalDamageDealt,0.15641703674169458
t1p2_physicalDamageDealtToChampions,0.15899068153142254
t1p2_physicalDamageTaken,-0.08157934291204878
t1p2_spellId1,0.004987703453460025
t1p2_spellId2,0.002692697107489908
t1p2_timeCCingOthers,0.03957192816159137
t1p2_totalDamageDealt,0.17149949116119742
t1p2_totalDamageDealtToChampions,0.16651694544706902
